LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.01, descConta=Receita de Venda de Bens e/ou Serviços, vlConta=13592265.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.02, descConta=Custo dos Bens e/ou Serviços Vendidos, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.03, descConta=Resultado Bruto, vlConta=13592265.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04, descConta=Despesas/Receitas Operacionais, vlConta=-10510853.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.01, descConta=Despesas com Vendas, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.02, descConta=Despesas Gerais e Administrativas, vlConta=-10899417.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.03, descConta=Perdas pela Não Recuperabilidade de Ativos, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.04, descConta=Outras Receitas Operacionais, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.05, descConta=Outras Despesas Operacionais, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.04.06, descConta=Resultado de Equivalência Patrimonial, vlConta=388564.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.05, descConta=Resultado Antes do Resultado Financeiro e dos Tributos, vlConta=3081412.0000000000]
